name,season,episode,character
The Kingsroad,1,2,Viserys Targaryen
The Kingsroad,1,2,Catelyn Stark
The Kingsroad,1,2,Cersei Lannister
The Kingsroad,1,2,Jaime Lannister
The Kingsroad,1,2,Eddard Stark
The Kingsroad,1,2,Robert Baratheon
The Kingsroad,1,2,Jorah Mormont
The Kingsroad,1,2,Daenerys Targaryen
The Kingsroad,1,2,Jon Snow
The Kingsroad,1,2,Petyr Baelish
The Kingsroad,1,2,Arya Stark
The Kingsroad,1,2,Sansa Stark
The Kingsroad,1,2,Bran Stark
The Kingsroad,1,2,Robb Stark
The Kingsroad,1,2,Joffrey Baratheon
The Kingsroad,1,2,Tyrion Lannister
The Kingsroad,1,2,Jeor Mormont
The Kingsroad,1,2,Alliser Thorne
The Kingsroad,1,2,Jory Cassel
The Kingsroad,1,2,Barristan Selmy
The Kingsroad,1,2,Rodrik Cassel
The Kingsroad,1,2,Benjen Stark
The Kingsroad,1,2,Yoren
The Kingsroad,1,2,Renly Baratheon
The Kingsroad,1,2,Maester Aemon
The Kingsroad,1,2,Syrio Forel
The Kingsroad,1,2,Grenn
The Kingsroad,1,2,Irri
The Kingsroad,1,2,Pypar
The Kingsroad,1,2,Rakharo
The Kingsroad,1,2,Lancel Lannister
Lord Snow,1,3,Eddard Stark
Lord Snow,1,3,Robert Baratheon
Lord Snow,1,3,Jaime Lannister
Lord Snow,1,3,Catelyn Stark
Lord Snow,1,3,Cersei Lannister
Lord Snow,1,3,Daenerys Targaryen
Lord Snow,1,3,Jorah Mormont
Lord Snow,1,3,Petyr Baelish
Lord Snow,1,3,Viserys Targaryen
Lord Snow,1,3,Jon Snow
Lord Snow,1,3,Arya Stark
Lord Snow,1,3,Sansa Stark
Lord Snow,1,3,Robb Stark
Lord Snow,1,3,Theon Greyjoy
Lord Snow,1,3,Bran Stark
Lord Snow,1,3,Joffrey Baratheon
Lord Snow,1,3,Sandor Clegane
Lord Snow,1,3,Bronn
Lord Snow,1,3,Tyrion Lannister
Lord Snow,1,3,Alliser Thorne
Lord Snow,1,3,Jory Cassel
Lord Snow,1,3,Rodrik Cassel
Lord Snow,1,3,Yoren
Lord Snow,1,3,Barristan Selmy
Lord Snow,1,3,Janos Slynt
Lord Snow,1,3,Renly Baratheon
Lord Snow,1,3,Marillion
Lord Snow,1,3,Samwell Tarly
Lord Snow,1,3,Grenn
Lord Snow,1,3,Pypar
Lord Snow,1,3,Gregor Clegane
Lord Snow,1,3,Irri
Lord Snow,1,3,Doreah
Lord Snow,1,3,Gendry
Lord Snow,1,3,Hodor
Lord Snow,1,3,Tobho Mott
Lord Snow,1,3,Tommen Baratheon
Lord Snow,1,3,Myrcella Baratheon
Lord Snow,1,3,Lancel Lannister
Winter Is Coming,1,1,Benjen Stark
Winter Is Coming,1,1,Jhiqui
Winter Is Coming,1,1,Mycah
Winter Is Coming,1,1,Mikken
Winter Is Coming,1,1,Eddard Stark
Winter Is Coming,1,1,Robert Baratheon
Winter Is Coming,1,1,Jaime Lannister
Winter Is Coming,1,1,Catelyn Stark
Winter Is Coming,1,1,Daenerys Targaryen
Winter Is Coming,1,1,Cersei Lannister
Winter Is Coming,1,1,Jorah Mormont
Winter Is Coming,1,1,Viserys Targaryen
Winter Is Coming,1,1,Jon Snow
Winter Is Coming,1,1,Sansa Stark
Winter Is Coming,1,1,Arya Stark
Winter Is Coming,1,1,Robb Stark
Winter Is Coming,1,1,Theon Greyjoy
Winter Is Coming,1,1,Bran Stark
Winter Is Coming,1,1,Joffrey Baratheon
Winter Is Coming,1,1,Sandor Clegane
Winter Is Coming,1,1,Tyrion Lannister
Winter Is Coming,1,1,Jory Cassel
Winter Is Coming,1,1,Doreah
Winter Is Coming,1,1,Qotho
Winter Is Coming,1,1,Rodrik Cassel
Winter Is Coming,1,1,Irri
Winter Is Coming,1,1,Ilyn Payne
Winter Is Coming,1,1,Tommen Baratheon
Winter Is Coming,1,1,Myrcella Baratheon
The Wolf and the Lion,1,5,Viserys Targaryen
The Wolf and the Lion,1,5,Stiv
The Wolf and the Lion,1,5,Eddard Stark
The Wolf and the Lion,1,5,Robert Baratheon
The Wolf and the Lion,1,5,Catelyn Stark
The Wolf and the Lion,1,5,Cersei Lannister
The Wolf and the Lion,1,5,Daenerys Targaryen
The Wolf and the Lion,1,5,Jorah Mormont
The Wolf and the Lion,1,5,Petyr Baelish
The Wolf and the Lion,1,5,Robb Stark
The Wolf and the Lion,1,5,Sansa Stark
The Wolf and the Lion,1,5,Arya Stark
The Wolf and the Lion,1,5,Theon Greyjoy
The Wolf and the Lion,1,5,Bran Stark
The Wolf and the Lion,1,5,Joffrey Baratheon
The Wolf and the Lion,1,5,Tyrion Lannister
The Wolf and the Lion,1,5,Bronn
The Wolf and the Lion,1,5,Rodrik Cassel
The Wolf and the Lion,1,5,Barristan Selmy
The Wolf and the Lion,1,5,Loras Tyrell
The Wolf and the Lion,1,5,Lysa Arryn
The Wolf and the Lion,1,5,Renly Baratheon
The Wolf and the Lion,1,5,Marillion
The Wolf and the Lion,1,5,Syrio Forel
The Wolf and the Lion,1,5,Mord
The Wolf and the Lion,1,5,Osha
The Wolf and the Lion,1,5,Irri
The Wolf and the Lion,1,5,Rakharo
The Wolf and the Lion,1,5,Doreah
The Wolf and the Lion,1,5,Hodor
The Wolf and the Lion,1,5,Aelinor Penrose
The Wolf and the Lion,1,5,Vardis Egen
The Wolf and the Lion,1,5,Qotho
The Wolf and the Lion,1,5,Lancel Lannister
"Cripples, Bastards, and Broken Things",1,4,Jory Cassel
"Cripples, Bastards, and Broken Things",1,4,Illyrio Mopatis
"Cripples, Bastards, and Broken Things",1,4,Mord
"Cripples, Bastards, and Broken Things",1,4,Vardis Egen
"Cripples, Bastards, and Broken Things",1,4,Eddard Stark
"Cripples, Bastards, and Broken Things",1,4,Robert Baratheon
"Cripples, Bastards, and Broken Things",1,4,Jaime Lannister
"Cripples, Bastards, and Broken Things",1,4,Catelyn Stark
"Cripples, Bastards, and Broken Things",1,4,Cersei Lannister
"Cripples, Bastards, and Broken Things",1,4,Petyr Baelish
"Cripples, Bastards, and Broken Things",1,4,Sansa Stark
"Cripples, Bastards, and Broken Things",1,4,Theon Greyjoy
"Cripples, Bastards, and Broken Things",1,4,Arya Stark
"Cripples, Bastards, and Broken Things",1,4,Bran Stark
"Cripples, Bastards, and Broken Things",1,4,Joffrey Baratheon
"Cripples, Bastards, and Broken Things",1,4,Sandor Clegane
"Cripples, Bastards, and Broken Things",1,4,Tyrion Lannister
"Cripples, Bastards, and Broken Things",1,4,Rodrik Cassel
"Cripples, Bastards, and Broken Things",1,4,Bronn
"Cripples, Bastards, and Broken Things",1,4,Barristan Selmy
"Cripples, Bastards, and Broken Things",1,4,Yoren
"Cripples, Bastards, and Broken Things",1,4,Lysa Arryn
"Cripples, Bastards, and Broken Things",1,4,Renly Baratheon
"Cripples, Bastards, and Broken Things",1,4,Marillion
"Cripples, Bastards, and Broken Things",1,4,Loras Tyrell
"Cripples, Bastards, and Broken Things",1,4,Gregor Clegane
"Cripples, Bastards, and Broken Things",1,4,Aelinor Penrose
"Cripples, Bastards, and Broken Things",1,4,Lancel Lannister
"Cripples, Bastards, and Broken Things",1,4,Tommen Baratheon
"Cripples, Bastards, and Broken Things",1,4,Myrcella Baratheon
A Golden Crown,1,6,Varly
A Golden Crown,1,6,Jaremy Rykker
A Golden Crown,1,6,Tomard
