name1,name2,relation_type,is_biological
Joffrey Baratheon,Robert Baratheon,father,legal
Myrcella Baratheon,Robert Baratheon,father,legal
Robert Baratheon,Joffrey Baratheon,descendant,legal
Robert Baratheon,Myrcella Baratheon,descendant,legal
Robert Baratheon,Tommen Baratheon,descendant,legal
Tommen Baratheon,Robert Baratheon,father,legal
Addam Marbrand,Damon Marbrand,father,biological
Aegon IV Targaryen,Daeron II Targaryen,descendant,biological
Arthur Dayne,Beric Dayne,father,biological
Arya Stark,Eddard Stark,father,biological
Balon Greyjoy,Theon Greyjoy,descendant,biological
Balon Greyjoy,Yara Greyjoy,descendant,biological
Balon Greyjoy,Reek,descendant,biological
Benjen Stark,Rickard Stark,father,biological
Bharbo,Drogo,descendant,biological
Bharbo,Khal Drogo,descendant,biological
Bran Stark,Eddard Stark,father,biological
Brandon Stark,Eddard Stark,father,biological
Brienne of Tarth,Selwyn Tarth,father,biological
Catelyn Stark,Hoster Tully,father,biological
Cersei Lannister,Tywin Lannister,father,biological
Daenerys Targaryen,Aerys II Targaryen,father,biological
Daeron II Targaryen,Aegon IV Targaryen,father,biological
Daeron II Targaryen,Maekar Targaryen,descendant,biological
Daeron II Targaryen,Maekar I Targaryen,descendant,biological
Damon Marbrand,Addam Marbrand,descendant,biological
Davos Seaworth,Matthos Seaworth,descendant,biological
Dickon Tarly,Randyll Tarly,father,biological
Doran Martell,Trystane Martell,descendant,biological
Drogo,Bharbo,father,biological
Drogo,Rhaego,descendant,biological
Eddard Stark,Rickard Stark,father,biological
Eddard Stark,Bran Stark,descendant,biological
Eddard Stark,Robb Stark,descendant,biological
Eddard Stark,Brandon Stark,descendant,biological
Eddard Stark,Arya Stark,descendant,biological
Eddard Stark,Rickon Stark,descendant,biological
Eddard Stark,Sansa Stark,descendant,biological
Edmure Tully,Hoster Tully,father,biological
Gendry,Robert Baratheon,father,biological
Gilly,Craster,father,biological
Harys Swyft,Dorna Lannister,descendant,biological
Hoster Tully,Edmure Tully,descendant,biological
Hoster Tully,Catelyn Stark,descendant,biological
