Alchemists' Guild
Blacks
Brave Companions
Brotherhood without banners
Chataya's brothel
City Watch of King's Landing
Drowned men
Faceless Men
Faith of the Seven
Golden Company
House Arryn
House Baelish
House Ball
House Banefort
House Baratheon
House Baratheon of Dragonstone
House Baratheon of King's Landing
House Beesbury
House Bettley
House Blackberry
House Blackfyre
House Blacktyde
House Blackwood
House Blount
House Bolton
House Bolton of the Dreadfort
House Botley
House Bracken
House Brax
House Brune of Brownhollow
House Bulwer
House Butterwell
House Byrch
House Bywater
House Cassel
House Caswell
House Celtigar
House Clegane
House Clifton
House Codd
House Connington
House Corbray
House Costayne
House Cox
House Crakehall
House Crane
House Cuy
House Dalt
House Darklyn
House Darry
House Dayne
House Drumm
House Durrandon
House Egen
House Estermont
House Estren
House Farman
House Farring
House Farwynd
House Farwynd of the Lonely Light
House Florent
House Fossoway
House Frey
House Frey of Riverrun
House Goodbrother
House Goodbrother of Shatterstone
House Gower
House Graceford
House Greenfield
House Grell
House Greyiron
House Greyjoy
House Haigh
House Hardyng
House Harlaw
House Harlaw of Grey Garden
House Harlaw of Harlaw Hall
House Harlaw of Harridan Hill
House Harlaw of the Tower of Glimmering
House Hawick
House Hayford
House Hightower
House Hoare
House Hollard
House Hornwood
House Humble
House Jast
House Karstark
House Kenning of Harlaw
House Kettleblack
House Lannister
House Lannister of Casterly Rock
House Lannister of Lannisport
House Leek
House Lefford
House Locke
House Longthorpe
House Longwaters
House Lorch
House Lydden
House Mallister
House Manderly
House Marbrand
House Martell
House Meadows
House Merlyn
House Mollen
House Moore
House Mooton
House Mormont
House Morrigen
House Myre
House Norcross
House Nymeros Martell
House Oakheart
House Paege
House Payne
House Peake
House Penrose
House Piper
House Poole
House Prester
House Qorgyle
House Redfort
House Redwyne
House Reed
House Reyne
House Rosby
House Royce
House Royce of the Gates of the Moon
House Ruttiger
House Ryger
House Rykker
House Santagar
House Sarsfield
House Seaworth
House Selmy
House Sharp
House Shepherd
House Slynt
House Sparr
House Spicer
House Stackspear
House Stark
House Stokeworth
House Stonehouse
House Stonetree
House Strong
House Suggs
House Sunglass
House Swann
House Swyft
House Targaryen
House Tarly
House Tarth
House Tawney
House Templeton
House Thorne
House Tollett
House Toyne
House Trant
House Tully
House Turnberry
House Tyrell
House Tyrell of Brightwater Keep
House Uller
House Vance of Atranta
House Vance of Wayfarer's Rest
House Velaryon
House Vikary
House Volmark
House Wayn
House Waynwood
House Weaver
House Webber
House Westerling
House Whent
House Willum
House Wode
House Wylde
House Wynch
House Yew
House Yronwood
House of Kandaq
House of Loraq
House of Pahl
Khal
Kingsguard
Kingswood Brotherhood
Maesters
Mance Rayder
Night's Watch
R'hllor
Stormcrows
Thirteen
Three-eyed crow
Undying Ones
Unsullied
brotherhood without banners
