name,culture,house,male
Addam Marbrand,,House Marbrand,1
Addison Hill,,House Swyft,1
Aegon Blackfyre,Valyrian,House Blackfyre,1
Aegon Frey,,House Frey,1
Aegon Frey (son of Aenys),,House Frey,1
Aegon II Targaryen,,House Targaryen,1
Aegon III Targaryen,Valyrian,House Targaryen,1
Aegon IV Targaryen,,House Targaryen,1
Aegon Targaryen (son of Gaemon),Valyrian,House Targaryen,1
Aegon Targaryen (son of Rhaegar),Valyrian,House Targaryen,1
Aemma Arryn,,House Arryn,0
Aemon Blackfyre,Valyrian,House Blackfyre,1
Aemond Targaryen,Valyrian,House Targaryen,1
Aenys Frey,,House Frey,1
Aerion Targaryen,Valyrian,House Targaryen,1
Aerion Targaryen (son of Daemion),Valyrian,House Targaryen,1
Aeron Greyjoy,Ironmen,House Greyjoy,1
Aerys Targaryen (son of Aegon),,House Targaryen,1
Aladale Wynch,Ironborn,House Wynch,1
Alannys Harlaw,Ironborn,House Greyjoy,0
Alayaya,,Chataya's brothel,0
Albar Royce,,House Royce of the Gates of the Moon,1
Alekyne Florent,,House Florent,1
Alerie Hightower,,House Hightower,0
Alester Florent,,House Florent,1
Alester Norcross,,House Norcross,1
Alfyn,Free Folk,,1
Alicent Hightower,,House Hightower,0
All-for-Joffrey,,,1
Allar Deem,,City Watch of King's Landing,1
Alliser Thorne,,House Thorne,1
Allyria Dayne,,House Dayne,0
Alvyn Sharp,Ironborn,House Sharp,1
Alyce Graceford,,House Graceford,0
Alyn,,House Stark,1
Alyn Connington,,House Connington,0
Alyn Frey,,House Frey,1
Alyn Stackspear,,House Stackspear,1
Alysanne Bracken,,House Bracken,1
Alysanne Bulwer,,House Bulwer,0
Amarei Crakehall,,House Crakehall,0
Amerei Frey,,House Frey,0
Amory Lorch,,House Lorch,1
Andar Royce,Valemen,House Royce,1
Andrey Dalt,Dornish,House Dalt,1
Andrik,Ironborn,House Drumm,1
Andros Brax,,House Brax,1
Androw Frey,,House Frey,1
Anguy,,Brotherhood without banners,1
Antario Jast,,House Jast,1
Anya Waynwood,,House Waynwood,0
Archmaester Ebrose,,Maesters,1
